Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
academicSkillsDesc,progression,,New,Not Used,Academic Skills,,,,,,,,,,,,,
academicSkillsTab,progression,,New,Not Used,Academic Skills,,,,,,,,,,,,,
academicSkillsTabName,progression,,New,Not Used,Academic Skills,,,,,,,,,,,,,
attStat,progression,,New,Not Used,Attributes,,,,,,,,,,,,,
attStatDesc,progression,,New,Not Used,This list of attributes make of the core of your abilities,,,,,,,,,,,,,
attStatName,progression,,New,Not Used,Attributes,,,,,,,,,,,,,
combatTab,progression,,New,Not Used,Weapons,Weapons,,,,,,,,,,,,
combatTabDesc,progression,,New,Not Used,Contains both melee and ranged weapons,,,,,,,,,,,,,
combatTabName,progression,,New,Not Used,Weapons,,,,,,,,,,,,,
meleeBladesDesc,progression,,New,Not Used,Current Exp {cvar($bladeExpTotal:0)}\nExp Next Level {cvar($bladeExpToNextLevel:0)}\nBase Exp award per use {cvar($BladeExp:0)},,,,,,,,,,,,,
meleeBladesName,progression,,New,Not Used,Blades,,,,,,,,,,,,,
meleeClubsName,progression,,New,Not Used,Clubs,,,,,,,,,,,,,
meleeClubsDesc,progression,,New,Not Used,Current Exp {cvar($clubExpTotal:0)}\nExp Next Level {cvar($clubExpToNextLevel:0)}\nBase Exp award per use {cvar($ClubExp:0)},,,,,,,,,,,,,
meleeFistsDesc,progression,,New,Not Used,Current Exp {cvar($fistExpTotal:0)}\nExp Next Level {cvar($fistExpToNextLevel:0)}\nBase Exp award per use {cvar($FistExp:0)},,,,,,,,,,,,,
meleeFistsName,progression,,New,Not Used,Fists,,,,,,,,,,,,,
meleeImprovised,progression,,New,Not Used,Imrpvised Weapon,,,,,,,,,,,,,
meleeImprovisedDesc,progression,,New,Not Used,Current Exp {cvar($improvisedExpTotal:0)}\nExp Next Level {cvar($improvisedExpToNextLevel:0)}\nBase Exp award per use {cvar($ImprovisedExp:0)},,,,,,,,,,,,,
meleeImprovisedName,progression,,New,Not Used,Improvised Weapon,,,,,,,,,,,,,
meleeSpearsDesc,progression,,New,Not Used,Current Exp {cvar($spearExpTotal:0)}\nExp Next Level {cvar($spearExpToNextLevel:0)}\nBase Exp award per use {cvar($SpearExp:0)},,,,,,,,,,,,,
meleeSpearsName,progression,,New,Not Used,Spears,,,,,,,,,,,,,
meleeTabDesc,progression,,New,Not Used,Melee Weapons,,,,,,,,,,,,,
meleeTabName,progression,,New,Not Used,Melee Skills,,,,,,,,,,,,,
physicalTabName,progression,,New,Not Used,Physical Skills,,,,,,,,,,,,,
rangedBowsDesc,progression,,New,Not Used,Current Exp {cvar($bowExpTotal:0)}\nExp Next Level {cvar($bowExpToNextLevel:0)}\nBase Exp award per use {cvar($BowExp:0)},,,,,,,,,,,,,
rangedBowsName,progression,,New,Not Used,Bows,,,,,,,,,,,,,
rangedMachinegunsDesc,progression,,New,Not Used,Current Exp {cvar($machinegunExpTotal:0)}\nExp Next Level {cvar($machinegunExpToNextLevel:0)}\nBase Exp award per use {cvar($MachinegunExp:0)},,,,,,,,,,,,,
rangedMachinegunsName,progression,,New,Not Used,Machineguns,,,,,,,,,,,,,
rangedPistolsDesc,progression,,New,Not Used,Current Exp {cvar($pistolExpTotal:0)}\nExp Next Level {cvar($pistolExpToNextLevel:0)}\nBase Exp award per use {cvar($PistolExp:0)},,,,,,,,,,,,,
rangedPistolsName,progression,,New,Not Used,Pistols,,,,,,,,,,,,,
rangedRiflesDesc,progression,,New,Not Used,Current Exp {cvar($rifleExpTotal:0)}\nExp Next Level {cvar($rifleExpToNextLevel:0)}\nBase Exp award per use {cvar($RifleExp:0)},,,,,,,,,,,,,
rangedRiflesName,progression,,New,Not Used,Rifles,,,,,,,,,,,,,
rangedShotgunsDesc,progression,,New,Not Used,Current Exp {cvar($shotgunExpTotal:0)}\nExp Next Level {cvar($shotgunExpToNextLevel:0)}\nBase Exp award per use {cvar($ShotgunExp:0)},,,,,,,,,,,,,
rangedShotgunsName,progression,,New,Not Used,Shotguns,,,,,,,,,,,,,
skillAutomotive,progression,,New,Not Used,Automotive,,,,,,,,,,,,,
skillAutomotiveDesc,progression,,New,Not Used,Current Exp {cvar($automotiveExpTotal:0)}\nExp Next Level {cvar($automotiveExpToNextLevel:0)}\nBase Exp award per use {cvar($AutomotiveExp:0)},,,,,,,,,,,,,
skillAutomotiveName,progression,,New,Not Used,Automotive,,,,,,,,,,,,,
skillBackpacking,progression,,New,Not Used,Backpacking,,,,,,,,,,,,,
skillBackpackingDesc,progression,,New,Not Used,Current Exp {cvar($backpackingExpTotal:0)}\nExp Next Level {cvar($backpackingExpToNextLevel:0)}\nBase Exp award per use {cvar($BackpackingExp:0)},,,,,,,,,,,,,
skillBackpackingName,progression,,New,Not Used,Backpacking,,,,,,,,,,,,,
skillBarter,progression,,New,Not Used,Barter,,,,,,,,,,,,,
skillBarterDesc,progression,,New,Not Used,Current Exp {cvar($barterExpTotal:0)}\nExp Next Level {cvar($barterExpToNextLevel:0)}\nBase Exp award per use {cvar($BarterExp:0)},,,,,,,,,,,,,
skillBarterName,progression,,New,Not Used,Barter,,,,,,,,,,,,,
skillBlacksmithing,progression,,New,Not Used,Blacksmithing,,,,,,,,,,,,,
skillBlacksmithingDesc,progression,,New,Not Used,Current Exp {cvar($blacksmithingExpTotal:0)}\nExp Next Level {cvar($blacksmithingExpToNextLevel:0)}\nBase Exp award per use {cvar($BlacksmithingExp:0)},,,,,,,,,,,,,
skillBlacksmithingName,progression,,New,Not Used,Blacksmithing,,,,,,,,,,,,,
skillButchering,progression,,New,Not Used,Butchering,,,,,,,,,,,,,
skillButcheringDesc,progression,,New,Not Used,Current Exp {cvar($butcheringExpTotal:0)}\nExp Next Level {cvar($butcheringExpToNextLevel:0)}\nBase Exp award per use {cvar($ButcheringExp:0)},,,,,,,,,,,,,
skillButcheringName,progression,,New,Not Used,Butchering,,,,,,,,,,,,,
skillChemistry,progression,,New,Not Used,Chemistry,,,,,,,,,,,,,
skillChemistryDesc,progression,,New,Not Used,Current Exp {cvar($chemistryExpTotal:0)}\nExp Next Level {cvar($chemistryExpToNextLevel:0)}\nBase Exp award per use {cvar($ChemistryExp:0)},,,,,,,,,,,,,
skillChemistryName,progression,,New,Not Used,Chemistry,,,,,,,,,,,,,
skillCivilEngineer,progression,,New,Not Used,Civil Engineer,,,,,,,,,,,,,
skillCivilEngineerDesc,progression,,New,Not Used,Current Exp {cvar($civilengineerExpTotal:0)}\nExp Next Level {cvar($civilengineerExpToNextLevel:0)}\nBase Exp award per use {cvar($CivilEngineerExp:0)},,,,,,,,,,,,,
skillCivilEngineerName,progression,,New,Not Used,Civil Engineer,,,,,,,,,,,,,
skillConstruction,progression,,New,Not Used,Construction,,,,,,,,,,,,,
skillConstructionDesc,progression,,New,Not Used,Current Exp {cvar($constructionExpTotal:0)}\nExp Next Level {cvar($constructionExpToNextLevel:0)}\nBase Exp award per use {cvar($ConstructionExp:0)},,,,,,,,,,,,,
skillConstructionName,progression,,New,Not Used,Construction,,,,,,,,,,,,,
skillCarpentry,progression,,New,Not Used,Carpentry,,,,,,,,,,,,,
skillCarpentryDesc,progression,,New,Not Used,Current Exp {cvar($carpentryExpTotal:0)}\nExp Next Level {cvar($carpentryExpToNextLevel:0)}\nBase Exp award per use {cvar($CarpentryExp:0)},,,,,,,,,,,,,
skillCarpentryName,progression,,New,Not Used,Carpentry,,,,,,,,,,,,,
skillCooking,progression,,New,Not Used,Cooking,,,,,,,,,,,,,
skillCookingDesc,progression,,New,Not Used,Current Exp {cvar($cookingExpTotal:0)}\nExp Next Level {cvar($cookingExpToNextLevel:0)}\nBase Exp award per use {cvar($CookingExp:0)},,,,,,,,,,,,,
skillCookingName,progression,,New,Not Used,Cooking,,,,,,,,,,,,,
skillDemolitions,progression,,New,Not Used,Demolitions,,,,,,,,,,,,,
skillDemolitionsDesc,progression,,New,Not Used,Current Exp {cvar($demolitionsExpTotal:0)}\nExp Next Level {cvar($demolitionsExpToNextLevel:0)}\nBase Exp award per KILL {cvar($DemolitionsExp:0)},,,,,,,,,,,,,
skillDemolitionsName,progression,,New,Not Used,Demolitions,,,,,,,,,,,,,
skillElectricalEngineer,progression,,New,Not Used,Electrical Engineer,,,,,,,,,,,,,
skillElectricalEngineerDesc,progression,,New,Not Used,Current Exp {cvar($electricalengineerExpTotal:0)}\nExp Next Level {cvar($electricalengineerExpToNextLevel:0)}\nBase Exp award per use {cvar($ElectricalEngineerExp:0)},,,,,,,,,,,,,
skillElectricalEngineerName,progression,,New,Not Used,Electrical Engineer,,,,,,,,,,,,,
skillFarming,progression,,New,Not Used,Farming,,,,,,,,,,,,,
skillFarmingDesc,progression,,New,Not Used,Current Exp {cvar($farmingExpTotal:0)}\nExp Next Level {cvar($farmingExpToNextLevel:0)}\nBase Exp award per use {cvar($FarmingExp:0)},,,,,,,,,,,,,
skillFarmingName,progression,,New,Not Used,Farming,,,,,,,,,,,,,
skillForaging,progression,,New,Not Used,Foraging,,,,,,,,,,,,,
skillForagingDesc,progression,,New,Not Used,Current Exp {cvar($foragingExpTotal:0)}\nExp Next Level {cvar($foragingExpToNextLevel:0)}\nBase Exp award per use {cvar($ForagingExp:0)},,,,,,,,,,,,,
skillForagingName,progression,,New,Not Used,Foraging,,,,,,,,,,,,,
skillLeadership,progression,,New,Not Used,Leadership,,,,,,,,,,,,,
skillLeadershipDesc,progression,,New,Not Used,Current Exp {cvar($leadershipExpTotal:0)}\nExp Next Level {cvar($leadershipExpToNextLevel:0)}\nBase Exp award per use {cvar($LeadershipExp:0)},,,,,,,,,,,,,
skillLeadershipName,progression,,New,Not Used,Leadership,,,,,,,,,,,,,
skillLockpicking,progression,,New,Not Used,Lockpicking,,,,,,,,,,,,,
skillLockpickingDesc,progression,,New,Not Used,Current Exp {cvar($lockpickingExpTotal:0)}\nExp Next Level {cvar($lockpickingExpToNextLevel:0)}\nBase Exp award per use {cvar($LockpickingExp:0)},,,,,,,,,,,,,
skillLockpickingName,progression,,New,Not Used,Lockpicking,,,,,,,,,,,,,
skillMechanicalEngineer,progression,,New,Not Used,Mechanical Engineer,,,,,,,,,,,,,
skillMechanicalEngineerDesc,progression,,New,Not Used,Current Exp {cvar($mechanicalengineerExpTotal:0)}\nExp Next Level {cvar($mechanicalengineerExpToNextLevel:0)}\nBase Exp award per use {cvar($MechanicalEngineerExp:0)},,,,,,,,,,,,,
skillMechanicalEngineerName,progression,,New,Not Used,Mechanical Engineer,,,,,,,,,,,,,
skillMedical,progression,,New,Not Used,Medical,,,,,,,,,,,,,
skillMedicalDesc,progression,,New,Not Used,Current Exp {cvar($medicalExpTotal:0)}\nExp Next Level {cvar($medicalExpToNextLevel:0)}\nBase Exp award per use {cvar($MedicalExp:0)},,,,,,,,,,,,,
skillMedicalName,progression,,New,Not Used,Medical,,,,,,,,,,,,,
skillMeleeCombat,progression,,New,Not Used,Melee Weapons,,,,,,,,,,,,,
skillMeleeCombatDesc,progression,,New,Not Used,Melee Weapons,,,,,,,,,,,,,
skillMeleeCombatName,progression,,New,Not Used,Melee Weapons,,,,,,,,,,,,,
skillMining,progression,,New,Not Used,Mining,,,,,,,,,,,,,
skillMiningDesc,progression,,New,Not Used,Current Exp {cvar($miningExpTotal:0)}\nExp Next Level {cvar($miningExpToNextLevel:0)}\nBase Exp award per use {cvar($MiningExp:0)},,,,,,,,,,,,,
skillMiningName,progression,,New,Not Used,Mining,,,,,,,,,,,,,
skillParkour,progression,,New,Not Used,Parkour,,,,,,,,,,,,,
skillParkourDesc,progression,,New,Not Used,Current Exp {cvar($parkourExpTotal:0)}\nExp Next Level {cvar($parkourExpToNextLevel:0)}\nBase Exp award per use {cvar($ParkourExp:0)},,,,,,,,,,,,,
skillParkourName,progression,,New,Not Used,Parkour,,,,,,,,,,,,,
skillRangedCombat,progression,,New,Not Used,Ranged Weapons,,,,,,,,,,,,,
skillRangedCombatDesc,progression,,New,Not Used,Ranged Weapons,,,,,,,,,,,,,
skillRangedCombatName,progression,,New,Not Used,Ranged Weapons,,,,,,,,,,,,,
skillRunning,progression,,New,Not Used,Running,,,,,,,,,,,,,
skillRunningDesc,progression,,New,Not Used,Current Exp {cvar($runningExpTotal:0)}\nExp Next Level {cvar($runningExpToNextLevel:0)}\nBase Exp award {cvar($RunningExp:0)} per 4.5 seconds of running,,,,,,,,,,,,,
skillRunningName,progression,,New,Not Used,Running,,,,,,,,,,,,,
skillSoftwareEngineer,progression,,New,Not Used,Software Engineer,,,,,,,,,,,,,
skillSoftwareEngineerDesc,progression,,New,Not Used,Current Exp {cvar($softwareengineerExpTotal:0)}\nExp Next Level {cvar($softwareengineerExpToNextLevel:0)}\nBase Exp award per use {cvar($SoftwareEngineerExp:0)},,,,,,,,,,,,,
skillSoftwareEngineerName,progression,,New,Not Used,Software Engineer,,,,,,,,,,,,,
skillScavenging,progression,,New,Not Used,Scavenging,,,,,,,,,,,,,
skillScavengingDesc,progression,,New,Not Used,Current Exp {cvar($scavengingExpTotal:0)}\nExp Next Level {cvar($scavengingExpToNextLevel:0)}\nBase Exp award per use {cvar($ScavengingExp:0)},,,,,,,,,,,,,
skillScavengingName,progression,,New,Not Used,Scavenging,,,,,,,,,,,,,
skillStealth,progression,,New,Not Used,Stealth,,,,,,,,,,,,,
skillStealthDesc,progression,,New,Not Used,Current Exp {cvar($stealthExpTotal:0)}\nExp Next Level {cvar($stealthExpToNextLevel:0)}\nBase Exp award per use {cvar($StealthExp:0)},,,,,,,,,,,,,
skillStealthName,progression,,New,Not Used,Stealth,,,,,,,,,,,,,
skillSwimming,progression,,New,Not Used,Swimming,,,,,,,,,,,,,
skillSwimmingDesc,progression,,New,Not Used,Current Exp {cvar($swimmingExpTotal:0)}\nExp Next Level {cvar($swimmingExpToNextLevel:0)}\nBase award {cvar($SwimmingExp:0)} exp per 4.5 seconds,,,,,,,,,,,,,
skillSwimmingName,progression,,New,Not Used,Swimming,,,,,,,,,,,,,
skillLeatherworking,progression,,New,Not Used,Leatherworking,,,,,,,,,,,,,
skillLeatherworkingDesc,progression,,New,Not Used,Current Exp {cvar($leatherWorkingExpTotal:0)}\nExp Next Level {cvar($leatherWorkingExpToNextLevel:0)}\nBase Exp award per use {cvar($LeatherworkingExp:0)},,,,,,,,,,,,,
skillLeatherworkingName,progression,,New,Not Used,Leatherworking,,,,,,,,,,,,,
skillTailoring,progression,,New,Not Used,Tailoring,,,,,,,,,,,,,
skillTailoringDesc,progression,,New,Not Used,Current Exp {cvar($tailoringExpTotal:0)}\nExp Next Level {cvar($tailoringExpToNextLevel:0)}\nBase Exp award per use {cvar($TailoringExp:0)},,,,,,,,,,,,,
skillTailoringName,progression,,New,Not Used,Tailoring,,,,,,,,,,,,,
skillTracking,progression,,New,Not Used,Tracking,,,,,,,,,,,,,
skillTrackingDesc,progression,,New,Not Used,Current Exp {cvar($trackingExpTotal:0)}\nExp Next Level {cvar($trackingExpToNextLevel:0)}\nBase award {cvar($TrackingExp:0)} exp per 11 seconds ,,,,,,,,,,,,,
skillTrackingName,progression,,New,Not Used,Tracking,,,,,,,,,,,,,
skillWoodCutting,progression,,New,Not Used,Woodcutting,,,,,,,,,,,,,
skillWoodCuttingDesc,progression,,New,Not Used,Current Exp {cvar($woodcuttingExpTotal:0)}\nExp Next Level {cvar($woodcuttingExpToNextLevel:0)}\nBase Exp award per use {cvar($WoodcuttingExp:0)},,,,,,,,,,,,,
skillWoodCuttingName,progression,,New,Not Used,Woodcutting,,,,,,,,,,,,,
socialTab,progression,,New,Not Used,Social Skills,,,,,,,,,,,,,
socialTabDesc,progression,,New,Not Used,Social Skills,,,,,,,,,,,,,
socialTabName,progression,,New,Not Used,Social Skills,,,,,,,,,,,,,
statCharisma,progression,statCharismaDesc,New,Not Used,Charisma,,,,,,,,,,,,,
statCharismaDesc,progression,,,,This value represents how likable you are.\nCurrent Modifier {cvar($playerCharismaMod:0)},,,,,,,,,,,,,
statCharismaName,progression,,,,Charisma,,,,,,,,,,,,,
statDexterity,progression,statDexterityDesc,New,Not Used,Dexterity,,,,,,,,,,,,,
statDexterityDesc,progression,,,,This value represents how nimble and agile you are.\nCurrent Modifier {cvar($playerDexterityMod:0)},,,,,,,,,,,,,
statDexterityName,progression,,,,Dexterity,,,,,,,,,,,,,
statFortitude,progression,statFortitudeDesc,New,Not Used,Fortitude,,,,,,,,,,,,,
statFortitudeDesc,progression,,,,This value represents how healthy and resilent you are.\nCurrent Modifier {cvar($playerFortitudeMod:0)},,,,,,,,,,,,,
statFortitudeName,progression,,,,Fortitude,,,,,,,,,,,,,
statIntelligence,progression,statIntelligenceDesc,New,Not Used,Intelligence,,,,,,,,,,,,,
statIntelligenceDesc,progression,,,,This value represents your ability to learn new things.\nCurrent Modifier {cvar($playerstatIntelligenceMod:0)}\nExp Int Modifier {cvar(.addExpNormal:0)},,,,,,,,,,,,,
statIntelligenceName,progression,,,,Intelligence,,,,,,,,,,,,,
statStrength,progression,statStrenghtDesc,New,Not Used,Strength,,,,,,,,,,,,,
statStrengthDesc,progression,,,,Your inherent ability of the body to exert force.\nCurrent Modifier {cvar($playerStrengthMod:0)},,,,,,,,,,,,,
statStrengthName,progression,,,,Strength,,,,,,,,,,,,,
statWisdom,progression,statWisdomDesc,New,Not Used,Wisdom,,,,,,,,,,,,,
statWisdomDesc,progression,,,,This value represents how wise you are.\nCurrent Modifier {cvar($playerWisdomMod:0)},,,,,,,,,,,,,
statWisdomName,progression,,,,Wisdom,,,,,,,,,,,,,
survivalTab,progression,,New,Not Used,Survival Skills,,,,,,,,,,,,,
survivalTabDesc,progression,,New,Not Used,Survival Skills,,,,,,,,,,,,,
survivalTabName,progression,,New,Not Used,Survival Skills,,,,,,,,,,,,,
technicalTab,progression,,New,Not Used,Technical Skills,,,,,,,,,,,,,
technicalTabDesc,progression,,New,Not Used,Technical Skills,,,,,,,,,,,,,
technicalTabName,progression,,New,Not Used,Technical Skills,,,,,,,,,,,,,
vocationalSkillsTab,progression,,New,Not Used,Vocational Skills,,,,,,,,,,,,,
vocationalSkillsTabName,progression,,New,Not Used,Vocational Skills,,,,,,,,,,,,,
vocationalSkilsDesc,progression,,New,Not Used,Vocational Skills,,,,,,,,,,,,,
statStrengthLevel01,progression,Attribute,,,Bedridden,,,,,,,,,,,,,
statStrengthLevel01LongDesc,progression,Attribute,,,Lacks the strength for basic movements.,,,,,,,,,,,,,
statStrengthLevel02,progression,Attribute,,,Frail,,,,,,,,,,,,,
statStrengthLevel02LongDesc,progression,Attribute,,,Very limited strength,,,,,,,,,,,,,
statStrengthLevel03,progression,Attribute,,,Limited Mobility,,,,,,,,,,,,,
statStrengthLevel03LongDesc,progression,Attribute,,,Can perform basic tasks but needs assistance for many daily activities.,,,,,,,,,,,,,
statStrengthLevel04,progression,Attribute,,,Inactive,,,,,,,,,,,,,
statStrengthLevel04LongDesc,progression,Attribute,,,Rarely exercises,,,,,,,,,,,,,
statStrengthLevel05,progression,Attribute,,,Below Average - Sedentary,,,,,,,,,,,,,
statStrengthLevel05LongDesc,progression,Attribute,,,Can handle most daily tasks but lacks stamina and struggles with moderately heavy lifting.,,,,,,,,,,,,,
statStrengthLevel06,progression,Attribute,,,Slightly Below Average,,,,,,,,,,,,,
statStrengthLevel06LongDesc,progression,Attribute,,,May occasionally be active but not consistent.,,,,,,,,,,,,,
statStrengthLevel07,progression,Attribute,,,Light Activity,,,,,,,,,,,,,
statStrengthLevel07LongDesc,progression,Attribute,,,Engages in light activities like walking; might struggle with heavy objects.,,,,,,,,,,,,,
statStrengthLevel08,progression,Attribute,,,Moderately Active,,,,,,,,,,,,,
statStrengthLevel08LongDesc,progression,Attribute,,,Engages in regular activities but not rigorous exercise.,,,,,,,,,,,,,
statStrengthLevel09,progression,Attribute,,,Fit,,,,,,,,,,,,,
