Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
AutomotiveResearchBundle1,items,,New,Not Used,Automotive Bundle Tier 1,,,,,,,,,,,,,
AutomotiveResearchBundle2,items,,New,Not Used,Automotive Bundle Tier 2,,,,,,,,,,,,,
AutomotiveResearchBundle3,items,,New,Not Used,Automotive Bundle Tier 3,,,,,,,,,,,,,
AutomotiveResearchBundle4,items,,New,Not Used,Automotive Bundle Tier 4,,,,,,,,,,,,,
AutomotiveResearchBundle5,items,,New,Not Used,Automotive Bundle Tier 5,,,,,,,,,,,,,
BlacksmithingResearchBundle1,items,,New,Not Used,Blacksmithing Bundle Tier 1,,,,,,,,,,,,,
BlacksmithingResearchBundle2,items,,New,Not Used,Blacksmithing Bundle Tier 2,,,,,,,,,,,,,
BlacksmithingResearchBundle3,items,,New,Not Used,Blacksmithing Bundle Tier 3,,,,,,,,,,,,,
BlacksmithingResearchBundle4,items,,New,Not Used,Blacksmithing Bundle Tier 4,,,,,,,,,,,,,
BlacksmithingResearchBundle5,items,,New,Not Used,Blacksmithing Bundle Tier 5,,,,,,,,,,,,,
CarpentryResearchBundle1,items,,New,Not Used,Carpentry Bundle Tier 1,,,,,,,,,,,,,
CarpentryResearchBundle2,items,,New,Not Used,Carpentry Bundle Tier 2,,,,,,,,,,,,,
CarpentryResearchBundle3,items,,New,Not Used,Carpentry Bundle Tier 3,,,,,,,,,,,,,
CarpentryResearchBundle4,items,,New,Not Used,Carpentry Bundle Tier 4,,,,,,,,,,,,,
CarpentryResearchBundle5,items,,New,Not Used,Carpentry Bundle Tier 5,,,,,,,,,,,,,
ChemistryResearchBundle1,items,,New,Not Used,Chemistry Bundle Tier 1,,,,,,,,,,,,,
ChemistryResearchBundle2,items,,New,Not Used,Chemistry Bundle Tier 2,,,,,,,,,,,,,
ChemistryResearchBundle3,items,,New,Not Used,Chemistry Bundle Tier 3,,,,,,,,,,,,,
ChemistryResearchBundle4,items,,New,Not Used,Chemistry Bundle Tier 4,,,,,,,,,,,,,
ChemistryResearchBundle5,items,,New,Not Used,Chemistry Bundle Tier 5,,,,,,,,,,,,,
